model_name,split_name,patch_idx,trust_score_pct,mean_risk,pct_high_risk,norm_disagreement,norm_stability,norm_spectral,norm_structural,raw_disag_mean,raw_stab_mean,raw_spectral_mean,raw_struct_mean,psnr_db,ssim,psnr_gain,gradient_corr,edge_iou,edge_f1
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",6,85.37,0.1463,0.0,0.13498932123184204,0.20605796575546265,0.1496269553899765,0.09436269104480743,0.0017985093872994184,0.00048464792780578136,0.02093,0.029132353141903877,39.0,0.9324,0.17999999999999972,0.8602,0.3103,0.4737
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",7,83.5,0.165,0.0,0.14531973004341125,0.22275960445404053,0.1506991982460022,0.14130109548568726,0.001550877932459116,0.0004918911727145314,0.02097,0.029438771307468414,38.8,0.9252,0.22999999999999687,0.8018,0.3709,0.5411
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",8,84.21,0.1579,0.0,0.15096238255500793,0.19819656014442444,0.15848052501678467,0.12406446784734726,0.0015471463557332754,0.0005010116728954017,0.02065,0.029737483710050583,38.76,0.9258,0.21999999999999886,0.8155,0.4088,0.5803
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",9,84.02,0.1598,0.0,0.15807794034481049,0.2055022418498993,0.14549456536769867,0.1299995481967926,0.0015434583183377981,0.000501392234582454,0.02025,0.030149254947900772,38.9,0.9287,0.22999999999999687,0.81,0.403,0.5745
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",10,86.64,0.1336,0.0,0.12538912892341614,0.18114671111106873,0.14050181210041046,0.08724968880414963,0.0016525754472240806,0.0004962715902365744,0.02038,0.030076777562499046,38.8,0.929,0.18999999999999773,0.826,0.404,0.5755
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",11,84.99,0.1501,0.0,0.13363316655158997,0.21490179002285004,0.1586095094680786,0.09307093918323517,0.0016694710357114673,0.0004936074838042259,0.0202,0.029143279418349266,38.97,0.9327,0.17999999999999972,0.8216,0.3667,0.5366
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",12,86.06,0.1394,0.0,0.13004332780838013,0.20348778367042542,0.13438037037849426,0.08956439793109894,0.001779102487489581,0.0004981599049642682,0.01977,0.029767975211143494,38.94,0.9323,0.1599999999999966,0.8669,0.3264,0.4922
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",13,84.76,0.1524,0.0,0.13589105010032654,0.22459477186203003,0.13737492263317108,0.11175985634326935,0.0017970202025026083,0.0004937085323035717,0.01977,0.030482659116387367,38.71,0.9302,0.14999999999999858,0.8682,0.3464,0.5146
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",14,83.23,0.1677,0.0,0.14400611817836761,0.23959285020828247,0.136488676071167,0.1507078856229782,0.0015654782764613628,0.0004860324552282691,0.02068,0.029593631625175476,38.8,0.9275,0.20999999999999375,0.8236,0.3731,0.5434
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",15,83.59,0.1641,0.0,0.16394412517547607,0.23705875873565674,0.13606296479701996,0.11945928633213043,0.0015620794147253036,0.0004822895862162113,0.021,0.030161280184984207,38.81,0.928,0.21999999999999886,0.8248,0.401,0.5724
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",16,83.55,0.1645,0.0,0.1636466234922409,0.21883384883403778,0.1470065712928772,0.12846317887306213,0.0015500462613999844,0.00048334215534850955,0.02044,0.029431696981191635,38.93,0.9294,0.22999999999999687,0.8221,0.393,0.5643
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",17,84.56,0.1544,0.0,0.1641906201839447,0.21373534202575684,0.14546151459217072,0.09431788325309753,0.0016552754677832127,0.00048819612129591405,0.01997,0.0291987806558609,39.01,0.9317,0.19999999999999574,0.8363,0.3891,0.5602
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",18,85.67,0.1433,0.0,0.16347378492355347,0.186761274933815,0.12261177599430084,0.10046375542879105,0.0016840655589476228,0.0004936164477840066,0.01954,0.0289530698210001,39.1,0.9344,0.20000000000000284,0.8241,0.3766,0.5472
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",19,86.24,0.1376,0.0,0.13292738795280457,0.17171630263328552,0.16178742051124573,0.08400337398052216,0.0017915824428200722,0.0004996093921363354,0.01984,0.029139375314116478,38.94,0.9329,0.1699999999999946,0.8737,0.3068,0.4695
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",20,86.04,0.1396,0.0,0.13643231987953186,0.18315213918685913,0.14214274287223816,0.09651892632246017,0.001834353432059288,0.0004957993514835835,0.01957,0.030450962483882904,38.69,0.931,0.1599999999999966,0.8691,0.358,0.5273
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",21,84.9,0.151,0.0,0.15603405237197876,0.1771722435951233,0.15440431237220764,0.11632471531629562,0.0015829127514734864,0.000503865594509989,0.02107,0.030040279030799866,38.77,0.9281,0.23000000000000398,0.8243,0.3964,0.5678
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",22,83.45,0.1655,0.0,0.1474204957485199,0.21712210774421692,0.16391083598136902,0.1336241215467453,0.0015691042644903064,0.0005054563516750932,0.02132,0.030391143634915352,38.68,0.9269,0.21000000000000085,0.8222,0.406,0.5775
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",23,83.51,0.1649,0.0,0.15881766378879547,0.23131532967090607,0.14356693625450134,0.12591992318630219,0.0015562274493277073,0.00049847352784127,0.02092,0.029893655329942703,38.85,0.9284,0.21999999999999886,0.8108,0.402,0.5735
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",24,85.56,0.1444,0.0,0.15761609375476837,0.19559532403945923,0.12915971875190735,0.09513428807258606,0.0016124886460602283,0.00049141317140311,0.02046,0.028919169679284096,39.0,0.9311,0.20000000000000284,0.8339,0.3592,0.5285
Improved Ensemble v2,"Phase 4 Held-out (Split v1, 49 patches)",25,85.04,0.1496,0.0,0.1677241176366806,0.17929375171661377,0.16196972131729126,0.0894552618265152,0.0016590238083153963,0.0005000077071599662,0.02069,0.029365595430135727,38.88,0.931,0.19000000000000483,0.8143,0.3578,0.527
